entity,n-revs
Build/Build.cs,36
Src/FluentAssertions/Collections/GenericCollectionAssertions.cs,35
Src/FluentAssertions/Specialized/AsyncFunctionAssertions.cs,25
Src/FluentAssertions/Common/TypeExtensions.cs,20
Src/FluentAssertions/Specialized/ExceptionAssertions.cs,18
Tests/FluentAssertions.Specs/Primitives/ObjectAssertionSpecs.cs,17
Tests/FluentAssertions.Equivalency.Specs/SelectionRulesSpecs.cs,16
Src/FluentAssertions/Specialized/GenericAsyncFunctionAssertions.cs,16
Src/FluentAssertions/Equivalency/SelfReferenceEquivalencyAssertionOptions.cs,16
Src/FluentAssertions/Collections/GenericDictionaryAssertions.cs,15
Tests/FluentAssertions.Specs/Specialized/TaskOfTAssertionSpecs.cs,14
Src/FluentAssertions/Primitives/StringAssertions.cs,13
Src/FluentAssertions/Formatting/DefaultValueFormatter.cs,13
Src/FluentAssertions/Specialized/ExecutionTimeAssertions.cs,13
Src/FluentAssertions/Primitives/TimeOnlyAssertions.cs,12
Tests/FluentAssertions.Specs/Primitives/DateTimeOffsetAssertionSpecs.cs,12
Src/FluentAssertions/Numeric/NumericAssertions.cs,12
Src/FluentAssertions/Specialized/TaskCompletionSourceAssertions.cs,12
Tests/FluentAssertions.Specs/Formatting/FormatterSpecs.cs,12
Src/FluentAssertions/Equivalency/EquivalencyValidator.cs,12
Src/FluentAssertions/Primitives/DateTimeOffsetAssertions.cs,12
Src/FluentAssertions/Primitives/DateTimeAssertions.cs,12
Tests/FluentAssertions.Specs/Specialized/TaskAssertionSpecs.cs,12
Src/FluentAssertions/AssertionExtensions.cs,12
Tests/FluentAssertions.Equivalency.Specs/CollectionSpecs.cs,12
Src/FluentAssertions/Equivalency/Steps/GenericDictionaryEquivalencyStep.cs,11
Src/FluentAssertions/Common/TypeMemberReflector.cs,11
Src/FluentAssertions/Primitives/SimpleTimeSpanAssertions.cs,11
Src/FluentAssertions/Types/TypeSelector.cs,11
Src/FluentAssertions/Equivalency/Steps/DictionaryInterfaceInfo.cs,11
Src/FluentAssertions/ObjectAssertionsExtensions.cs,11
Src/FluentAssertions/Primitives/ObjectAssertions.cs,11
Tests/FluentAssertions.Specs/Specialized/ExecutionTimeAssertionsSpecs.cs,11
Tests/FluentAssertions.Specs/Events/EventAssertionSpecs.cs,11
Tests/FluentAssertions.Specs/AssertionOptionsSpecs.cs,11
Tests/FluentAssertions.Specs/Primitives/TimeOnlyAssertionSpecs.cs,10
Src/FluentAssertions/Types/MethodInfoSelectorAssertions.cs,10
Src/FluentAssertions/Types/TypeSelectorAssertions.cs,10
Src/FluentAssertions/EventRaisingExtensions.cs,10
Src/FluentAssertions/Types/TypeAssertions.cs,10
Src/FluentAssertions/Primitives/BooleanAssertions.cs,10
Tests/FluentAssertions.Specs/Types/TypeSelectorSpecs.cs,10
Src/FluentAssertions/Execution/AssertionScope.cs,10
Src/FluentAssertions/Specialized/DelegateAssertions.cs,10
Src/FluentAssertions/CallerIdentifier.cs,10
Tests/FluentAssertions.Specs/Collections/GenericDictionaryAssertionSpecs.cs,9
Src/FluentAssertions/Formatting/Formatter.cs,9
Src/FluentAssertions/Xml/XElementAssertions.cs,9
Src/FluentAssertions/Collections/StringCollectionAssertions.cs,9
Src/FluentAssertions/Primitives/EnumAssertions.cs,9
Tests/FluentAssertions.Specs/Numeric/NumericAssertionSpecs.cs,9
Src/FluentAssertions/DataColumnCollectionAssertionExtensions.cs,9
Src/FluentAssertions/Types/PropertyInfoSelectorAssertions.cs,9
Tests/FluentAssertions.Specs/Exceptions/FunctionExceptionAssertionSpecs.cs,9
Tests/FluentAssertions.Specs/Primitives/DateTimeAssertionSpecs.cs,9
Src/FluentAssertions/Common/ReadOnlyNonGenericCollectionWrapper.cs,9
Src/FluentAssertions/Common/ExpressionExtensions.cs,9
Tests/FluentAssertions.Specs/Execution/CallerIdentifierSpecs.cs,8
Src/FluentAssertions/Primitives/DateOnlyAssertions.cs,8
Src/FluentAssertions/Common/Guard.cs,8
Tests/FluentAssertions.Specs/Types/MethodInfoSelectorSpecs.cs,8
Tests/FluentAssertions.Specs/Types/PropertyInfoSelectorAssertionSpecs.cs,8
Tests/FluentAssertions.Specs/Specialized/TaskCompletionSourceAssertionSpecs.cs,8
Src/FluentAssertions/Types/PropertyInfoSelector.cs,8
Src/FluentAssertions/AssertionOptions.cs,8
Tests/FluentAssertions.Equivalency.Specs/CyclicReferencesSpecs.cs,8
Src/FluentAssertions/Equivalency/Matching/MustMatchByNameRule.cs,8
Src/FluentAssertions/Equivalency/Steps/DataRowCollectionEquivalencyStep.cs,8
Src/FluentAssertions/Formatting/PredicateLambdaExpressionValueFormatter.cs,8
Src/FluentAssertions/Equivalency/Steps/DataRowEquivalencyStep.cs,8
Src/FluentAssertions/Specialized/AssemblyAssertions.cs,8
Src/FluentAssertions/Data/DataTableAssertions.cs,8
Tests/FluentAssertions.Specs/Exceptions/NotThrowSpecs.cs,8
Tests/FluentAssertions.Specs/Numeric/ComparableSpecs.cs,8
Src/FluentAssertions/Primitives/ReferenceTypeAssertions.cs,8
Tests/FluentAssertions.Equivalency.Specs/ExtensibilitySpecs.cs,8
Src/FluentAssertions/Equivalency/Steps/DataColumnEquivalencyStep.cs,8
Tests/Approval.Tests/ApiApproval.cs,7
Src/FluentAssertions/Primitives/GuidAssertions.cs,7
Src/FluentAssertions/Equivalency/INode.cs,7
Src/FluentAssertions/Numeric/ComparableTypeAssertions.cs,7
Tests/Benchmarks/UsersOfGetClosedGenericInterfaces.cs,7
Tests/FluentAssertions.Equivalency.Specs/DictionarySpecs.cs,7
Src/FluentAssertions/Data/DataRowAssertions.cs,7
Src/FluentAssertions/Data/DataSetAssertions.cs,7
Src/FluentAssertions/Equivalency/Matching/MappedMemberMatchingRule.cs,7
Src/FluentAssertions/Events/EventAssertions.cs,7
Src/FluentAssertions/Data/DataEquivalencyAssertionOptions.cs,7
Src/FluentAssertions/NumericAssertionsExtensions.cs,7
Tests/FluentAssertions.Specs/Execution/AssertionScopeSpecs.cs,7
Tests/FluentAssertions.Equivalency.Specs/DataTableSpecs.cs,7
Src/FluentAssertions/Types/MethodInfoSelector.cs,7
Tests/FluentAssertions.Specs/Primitives/DateOnlyAssertionSpecs.cs,7
Src/FluentAssertions/Equivalency/Ordering/PathBasedOrderingRule.cs,7
Tests/FluentAssertions.Specs/Primitives/EnumAssertionSpecs.cs,7
Src/FluentAssertions/Equivalency/Matching/MappedPathMatchingRule.cs,7
Tests/FluentAssertions.Specs/Primitives/SimpleTimeSpanAssertionSpecs.cs,7
Tests/FluentAssertions.Specs/Collections/GenericCollectionAssertionOfStringSpecs.cs,6
Tests/FluentAssertions.Equivalency.Specs/DataRowSpecs.cs,6
Src/FluentAssertions/Equivalency/Node.cs,6
Src/FluentAssertions/Equivalency/Matching/TryMatchByNameRule.cs,6
Src/FluentAssertions/DataTableCollectionAssertionExtensions.cs,6
Src/FluentAssertions/Collections/SubsequentOrderingAssertions.cs,6
Src/FluentAssertions/Primitives/StringWildcardMatchingValidator.cs,6
Src/FluentAssertions/CallerIdentification/MultiLineCommentParsingStrategy.cs,6
Src/FluentAssertions/Equivalency/Steps/DataSetEquivalencyStep.cs,6
Src/FluentAssertions/Execution/NSpecFramework.cs,6
Tests/FluentAssertions.Specs/Primitives/BooleanAssertionSpecs.cs,6
Src/FluentAssertions/Common/StringExtensions.cs,6
Src/FluentAssertions/StringBuilderExtensions.cs,6
Src/FluentAssertions/CallerIdentification/QuotesParsingStrategy.cs,6
Src/FluentAssertions/Equivalency/Steps/ConstraintEquivalencyStep.cs,6
Tests/FluentAssertions.Specs/Types/TypeSelectorAssertionSpecs.cs,6
Src/FluentAssertions/Equivalency/IEquivalencyAssertionOptions.cs,6
Src/FluentAssertions/Common/MemberPath.cs,6
Src/FluentAssertions/Specialized/FunctionAssertions.cs,6
Src/FluentAssertions/Types/PropertyInfoAssertions.cs,6
Build/Configuration.cs,6
Src/FluentAssertions/DataRowCollectionAssertionExtensions.cs,6
Src/FluentAssertions/Equivalency/Steps/DataTableEquivalencyStep.cs,6
Src/FluentAssertions/Primitives/DateTimeOffsetRangeAssertions.cs,6
Src/FluentAssertions/Common/Services.cs,6
Src/FluentAssertions/Xml/XDocumentAssertions.cs,6
Src/FluentAssertions/Data/DataColumnAssertions.cs,6
Tests/FluentAssertions.Specs/Exceptions/AsyncFunctionExceptionAssertionSpecs.cs,6
Src/FluentAssertions/Events/EventMonitor.cs,6
Tests/FluentAssertions.Specs/Primitives/StringComparisonSpecs.cs,6
Src/FluentAssertions/Equivalency/Execution/ObjectReference.cs,6
Tests/FluentAssertions.Equivalency.Specs/DataSpecs.cs,6
Src/FluentAssertions/CallerIdentification/SingleLineCommentParsingStrategy.cs,6
Src/FluentAssertions/Equivalency/ConversionSelector.cs,6
Tests/FluentAssertions.Specs/Xml/XElementAssertionSpecs.cs,6
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.ContainInOrder.cs,5
Src/FluentAssertions/Equivalency/Steps/StructuralEqualityEquivalencyStep.cs,5
Tests/FluentAssertions.Equivalency.Specs/TypedDataSetSpecs.cs,5
Src/FluentAssertions/Formatting/MultidimensionalArrayFormatter.cs,5
Tests/FluentAssertions.Specs/Primitives/ReferenceTypeAssertionsSpecs.cs,5
Tests/FluentAssertions.Equivalency.Specs/MemberMatchingSpecs.cs,5
Src/FluentAssertions/Types/MethodInfoAssertions.cs,5
Src/FluentAssertions/Primitives/DateTimeRangeAssertions.cs,5
Src/FluentAssertions/Equivalency/Selection/SelectMemberByPathSelectionRule.cs,5
Src/FluentAssertions/Formatting/EnumerableValueFormatter.cs,5
Tests/FluentAssertions.Specs/Specialized/AssemblyAssertionSpecs.cs,5
Src/FluentAssertions/Primitives/NullableDateOnlyAssertions.cs,5
Src/FluentAssertions/Execution/GivenSelector.cs,5
Src/FluentAssertions/Types/MemberInfoAssertions.cs,5
Src/FluentAssertions/Execution/LateBoundTestFramework.cs,5
Src/FluentAssertions/Formatting/DateTimeOffsetValueFormatter.cs,5
Src/FluentAssertions/Common/MemberPathSegmentEqualityComparer.cs,5
Src/FluentAssertions/Formatting/XElementValueFormatter.cs,5
Src/FluentAssertions/Primitives/StringValidator.cs,5
Src/FluentAssertions/Primitives/NullableTimeOnlyAssertions.cs,5
Src/FluentAssertions/Equivalency/Field.cs,5
Src/FluentAssertions/Equivalency/IObjectInfo.cs,5
Src/FluentAssertions/Equivalency/MemberFactory.cs,5
Src/FluentAssertions/Specialized/DelegateAssertionsBase.cs,5
Tests/FluentAssertions.Specs/AssertionExtensionsSpecs.cs,5
Src/FluentAssertions/Equivalency/Selection/IncludeMemberByPredicateSelectionRule.cs,5
Tests/FluentAssertions.Equivalency.Specs/TestTypes.cs,5
Src/FluentAssertions/Specialized/FunctionAssertionHelpers.cs,5
Src/FluentAssertions/EquivalencyPlan.cs,5
Src/FluentAssertions/Equivalency/Steps/AutoConversionStep.cs,5
Src/FluentAssertions/Equivalency/MultiDimensionalArrayEquivalencyStep.cs,5
Tests/FluentAssertions.Equivalency.Specs/BasicSpecs.cs,5
Tests/FluentAssertions.Equivalency.Specs/DataColumnSpecs.cs,5
Src/FluentAssertions/Equivalency/Ordering/CollectionMemberObjectInfo.cs,4
Src/FluentAssertions/Formatting/TimeSpanValueFormatter.cs,4
Src/FluentAssertions/Equivalency/Steps/DataRelationEquivalencyStep.cs,4
Src/FluentAssertions/Execution/TestFrameworkProvider.cs,4
Src/FluentAssertions/Equivalency/Steps/ValueTypeEquivalencyStep.cs,4
Tests/FluentAssertions.Specs/AssertionExtensions.cs,4
Tests/FluentAssertions.Specs/Types/TypeAssertionSpecs.HaveExplicitMethod.cs,4
Tests/FluentAssertions.Specs/Xml/XDocumentAssertionSpecs.cs,4
Tests/FluentAssertions.Specs/Numeric/NullableNumericAssertionSpecs.cs,4
Tests/FluentAssertions.Specs/Xml/XmlElementAssertionSpecs.cs,4
Tests/FluentAssertions.Specs/Types/TypeAssertionSpecs.HaveExplicitProperty.cs,4
Src/FluentAssertions/Types/MethodBaseAssertions.cs,4
Tests/FluentAssertions.Specs/Execution/AssertionScope.ChainingApiSpecs.cs,4
Src/FluentAssertions/Specialized/NonGenericAsyncFunctionAssertions.cs,4
Tests/FluentAssertions.Specs/Types/TypeExtensionsSpecs.cs,4
Src/FluentAssertions/Equivalency/Property.cs,4
Src/FluentAssertions/Formatting/DictionaryValueFormatter.cs,4
Tests/Benchmarks/TypeMemberReflectorBenchmarks.cs,4
Src/FluentAssertions/Common/FullFrameworkReflector.cs,4
Src/FluentAssertions/Common/ICollectionWrapper.cs,4
Tests/FluentAssertions.Specs/Execution/AssertionScope.MessageFormatingSpecs.cs,4
Src/FluentAssertions/Execution/CollectingAssertionStrategy.cs,4
Src/FluentAssertions/Formatting/TimeOnlyValueFormatter.cs,4
Src/FluentAssertions/Formatting/FormattedObjectGraph.cs,4
Tests/FluentAssertions.Specs/Numeric/NumericDifferenceAssertionsSpecs.cs,4
Tests/FluentAssertions.Specs/Types/PropertyInfoAssertionSpecs.cs,4
Tests/FluentAssertions.Equivalency.Specs/DataSetSpecs.cs,4
Src/FluentAssertions/Xml/Equivalency/XmlReaderValidator.cs,4
Tests/FluentAssertions.Specs/Exceptions/InnerExceptionSpecs.cs,4
Tests/FluentAssertions.Specs/Common/TimeSpanExtensions.cs,4
Src/FluentAssertions/Equivalency/IEquivalencyValidationContext.cs,4
Src/FluentAssertions/Common/IntegerExtensions.cs,4
Tests/FluentAssertions.Specs/Types/PropertyInfoSelectorSpecs.cs,4
Tests/FluentAssertions.Specs/Primitives/GuidAssertionSpecs.cs,4
Src/FluentAssertions/Equivalency/Steps/EnumerableEquivalencyValidator.cs,4
Tests/FluentAssertions.Specs/Extensions/ObjectExtensionsSpecs.cs,4
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.cs,4
Src/FluentAssertions/Specialized/ExecutionTime.cs,4
Src/FluentAssertions/Equivalency/Execution/CollectionMemberAssertionOptionsDecorator.cs,4
Tests/FluentAssertions.Specs/Specialized/DelegateAssertionSpecs.cs,4
Tests/FluentAssertions.Equivalency.Specs/EnumSpecs.cs,4
Src/FluentAssertions/Extensions/FluentDateTimeExtensions.cs,4
Src/FluentAssertions/Formatting/AttributeBasedFormatter.cs,4
Tests/FluentAssertions.Equivalency.Specs/MemberConversionSpecs.cs,4
Src/FluentAssertions/Common/Configuration.cs,4
Src/FluentAssertions/Collections/MaximumMatching/MaximumMatchingSolver.cs,4
Src/FluentAssertions/Execution/XUnit2TestFramework.cs,4
Src/FluentAssertions/Formatting/DateOnlyValueFormatter.cs,4
Src/FluentAssertions/Equivalency/Selection/IncludeMemberByPathSelectionRule.cs,4
Src/FluentAssertions/Numeric/NullableNumericAssertions.cs,4
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.BeInAscendingOrder.cs,3
Tests/FluentAssertions.Specs/Collections/Data/DataRowCollectionAssertionSpecs.cs,3
Src/FluentAssertions/Data/IDataEquivalencyAssertionOptions.cs,3
Src/FluentAssertions/Formatting/FormattingOptions.cs,3
Tests/FluentAssertions.Specs/Execution/TestFrameworkProviderTests.cs,3
Tests/FluentAssertions.Specs/Types/TypeAssertionSpecs.HaveMethod.cs,3
Tests/FluentAssertions.Specs/Collections/Data/DataTableCollectionAssertionSpecs.cs,3
Src/FluentAssertions/Equivalency/Ordering/ByteArrayOrderingRule.cs,3
Src/FluentAssertions/Formatting/StringValueFormatter.cs,3
Src/FluentAssertions/DataTableAssertionExtensions.cs,3
Tests/FluentAssertions.Specs/Collections/GenericCollectionAssertionOfStringSpecs.AllSatisfy.cs,3
Src/FluentAssertions/Primitives/StringEqualityValidator.cs,3
Tests/FluentAssertions.Specs/Formatting/PredicateLambdaExpressionValueFormatterSpecs.cs,3
Tests/Benchmarks/CheckIfMemberIsBrowsable.cs,3
Src/FluentAssertions/Events/EventRecorder.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.AllBeAssignableTo.cs,3
Src/FluentAssertions/Equivalency/Steps/EnumEqualityStep.cs,3
Src/FluentAssertions/Primitives/NegatedStringStartValidator.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.OnlyHaveUniqueItems.cs,3
Src/FluentAssertions/Formatting/ExceptionValueFormatter.cs,3
Src/FluentAssertions/Equivalency/Ordering/PredicateBasedOrderingRule.cs,3
Src/FluentAssertions/CallerIdentification/AddNonEmptySymbolParsingStrategy.cs,3
Src/FluentAssertions/Streams/BufferedStreamAssertions.cs,3
Src/FluentAssertions/Equivalency/Tracing/Tracer.cs,3
Src/FluentAssertions/Specialized/ActionAssertions.cs,3
Src/FluentAssertions/Equivalency/Steps/GenericEnumerableEquivalencyStep.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.AllSatisfy.cs,3
Tests/FluentAssertions.Specs/Primitives/StringAssertionSpecs.MatchRegex.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.HaveCountGreaterThanOrEqualTo.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.Contain.cs,3
Src/FluentAssertions/TypeExtensions.cs,3
Src/FluentAssertions/Streams/StreamAssertions.cs,3
Src/FluentAssertions/Equivalency/Execution/CyclicReferenceDetector.cs,3
Src/FluentAssertions/SystemExtensions.cs,3
Tests/FluentAssertions.Equivalency.Specs/TypedDataTableSpecs.cs,3
Tests/Benchmarks/LargeDataTableEquivalency.cs,3
Src/FluentAssertions/Primitives/StringStartValidator.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.HaveCount.cs,3
Tests/FluentAssertions.Specs/Streams/StreamAssertionSpecs.cs,3
Src/FluentAssertions/Formatting/EnumValueFormatter.cs,3
Src/FluentAssertions/Equivalency/Comparands.cs,3
Src/FluentAssertions/Equivalency/Steps/EnumerableEquivalencyValidatorExtensions.cs,3
Src/FluentAssertions/Primitives/NullableDateTimeAssertions.cs,3
Tests/FluentAssertions.Specs/Formatting/MultidimensionalArrayFormatterSpecs.cs,3
Src/FluentAssertions/CallerIdentification/CallerStatementBuilder.cs,3
Tests/FluentAssertions.Specs/FakeClock.cs,3
Src/FluentAssertions/Common/Iterator.cs,3
Src/FluentAssertions/Execution/DefaultAssertionStrategy.cs,3
Tests/FluentAssertions.Equivalency.Specs/DataRelationSpecs.cs,3
Src/FluentAssertions/Equivalency/Steps/AssertionContext.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.ContainInConsecutiveOrder.cs,3
